,wikidata_code,title,intro,gender,occupations
0,Q101138,Elisabeth Bauriedel,"<p><b>Elisabeth Bauriedel</b> (born 20 June 1939) was a German politician, representative of the Christian Social Union in Bavaria.
</p>
",female,['politician']
1,Q10305226,Janet Auchincloss Rutherfurd,"<p class=""mw-empty-elt"">
</p>

<p><b>Janet Jennings Auchincloss Rutherfurd</b> (June 13, 1945 – March 13, 1985) was an American socialite. She was the half sister of the former First Lady of the United States, Jacqueline Kennedy Onassis, and socialite Princess Lee Radziwill.
</p>

",female,['socialite']
2,Q10320901,Luiza Mariani,"<p><b>Luiza Mariani</b> is a Brazilian actress and producer. She started her career on the theater when she was 14 years old, and when she was 15 she was chosen by Domingos Oliveira to be part of the cast of the play “Confissões de Adolescente”. Studied philosophy at the PUC - RJ.
</p>",female,['actor']
3,Q10325735,Maria Baptista Soares,"<p><b>Maria Baptista Soares</b> (born November 15, 1928) is a Cape Verdean sociologist and a political activist.
</p><p>She took part mainly for her work on different communities of peripherical and polemic theme especially on subaltern and neocolonialism.
</p><p>An urban sociologist, she wrote on social relations in the fringes of globalization with the same rigor which it defends the creation of a territorial identity and partly on the fortification of horizontalities.  Founded in April 2008 in São Paulo, Brazil, the Centro Popular Latinoamericano de Estudos Territoriais (CEPLAET, the Latin American Territorial Studies People's Center), following the Portuguese counterpart but without the theoretical and methodological assumptions on the discussions related to Latin American society.
</p>",female,['writer']
4,Q10346103,Patricia Seed,No intro available,female,"['historian', 'university teacher']"
5,Q10446120,Zoe Thompson,No intro available,female,['association football player']
6,Q10457339,,No intro available,female,['association football player']
7,Q10458235,Grace Gill,"<p class=""mw-empty-elt"">

</p>

<p><b>Grace Gill-McGrath</b> is a retired Australian soccer player who now works as a commentator. 
</p>

",female,['association football player']
8,Q10462128,Sarah Wagenfuhr,No intro available,female,['association football player']
9,Q10462189,Lim Shiya,"<p class=""mw-empty-elt"">

</p>

<p><b>Lim Shiya</b> (born 26 June 1986) is a Singaporean footballer who formerly plays as a midfielder for Australian W-League team Perth Glory and the Singapore women's national football team. 
</p>
",female,['association football player']
10,Q10462376,Maureen Jacobson,"<p class=""mw-empty-elt"">

</p>

<p><b>Maureen Dale Jacobson</b> (born 7 December 1961) is a former association football player who represented New Zealand.
</p>

",female,['association football player']
11,Q10462447,Louisa Bisby,"<p class=""mw-empty-elt"">

</p>

<p><b>Louisa Bisby</b> (born 1 June 1979) is an Australian soccer player who played for Melbourne Victory in the Australian W-League, and with the Matildas representing Australia. A knee injury ended Bisby's 2012 season with Melbourne Victory in October.
</p><p>Bisby was born in England and arrived in Australia at the age of 15.
</p>",female,['association football player']
12,Q10462674,Lauren Bruton,"<p class=""mw-empty-elt"">

</p>

<p><b>Lauren Marie Bruton</b> (born 22 November 1992) is an English former football forward. She was born in Luton.
</p>",female,['association football player']
13,Q10462951,Lynne Warring,"<p class=""mw-empty-elt"">

</p>

<p><b>Lynne Warring</b> (born 1 December 1963) is a former association football player who represented New Zealand at international level.
</p><p>Warring scored on her Football Ferns debut in an 11–0 win over a Papua New Guinea on 21 May 1991 and ended her international career with 4 caps and 1 goals to her credit.
</p><p>Warring represented New Zealand at the Women's World Cup finals in China in 1991 making a single appearance at the finals in their 1–4 loss to China.
</p>
",female,['association football player']
14,Q10471445,Raewyn Hall,No intro available,female,['association football player']
15,Q10473706,Audrey Rigby,"<p class=""mw-empty-elt"">

</p>

<p><b>Audrey Rigby</b> (née <b>Allen</b>; born 17 September 1957) is a former association football player who represented New Zealand at international level.
</p><p>Rigby made her Football Ferns as a substitute in a 0–0 draw with Australia on 28 November 1983, and finished her international career with 14 caps to her credit.
</p><p>In 1972–73 Rigby was in England, playing for an early incarnation of Nottingham Forest Ladies. She played for England in a 5–1 win over Wales in 1976.
</p><p>She was allotted 32 when the FA announced their legacy numbers scheme to honour the 50th anniversary of England’s inaugural international.
</p>
",female,['association football player']
16,Q10476305,Jennifer Carlisle,"<p class=""mw-empty-elt"">

</p>

<p><b>Jennifer Carlisle</b> (born 6 November 1971) is a former association football player who represented New Zealand at international level.
</p><p>Carlisle made her Football Ferns début in a 1–3 loss to China on 21 November 1997, and finished her international career with five caps and one goal to her credit.
</p>",female,['association football player']
