,title,intro,gender,occupations
Q1873228,Lucia Šimová,"<p><b>Lucia Šimová</b> (* 9. Mai 1990) ist eine slowakische Biathletin.
</p><p>Lucia Šimová bestritt ihre ersten internationalen Rennen 2006 im Rahmen des Junioren-Europacups. Erste internationale Meisterschaften wurden die Juniorenweltmeisterschaften 2007 in Martell. Im Einzel wurde sie 58., im Sprint 39. und im Verfolgungsrennen 46. Mit der slowakischen Staffel belegte sie Platz elf. Es dauerte zwei Jahre, bis Šimová in Canmore erneut bei Juniorenweltmeisterschaften zum Einsatz kam und die Platzierungen 23 im Einzel, 38 im Sprint und 36 in der Verfolgung erreichte. 2010 waren die Juniorenrennen der Sommerbiathlon-Weltmeisterschaften das einzige Großereignis für die Slowakin. In Duszniki-Zdrój wurde sie 21. des Sprintrennens und 27. des Verfolgers. Letzte internationale Meisterschaft bei den Juniorinnen auf Schnee wurden die Juniorenweltmeisterschaften 2011 in Nové Město na Moravě, bei denen Šimová auf die Plätze 59 im Einzel, 46 im Sprint, 51 im Verfolgungsrennen kam und 17. im Staffelrennen wurde. Im weiteren Jahresverlauf kam sie zunächst bei den Sommerbiathlon-Europameisterschaften 2011 in Martell zum Einsatz und wurde 13. des Sprints und 15. der Verfolgung. Im Mixed-Staffelrennen gewann sie mit Paulína Fialková, Tomáš Hasilla und Michal Kubaliak die Silbermedaille. Letztes Meisterschaft bei den Juniorinnen waren die Rennen bei den Sommerbiathlon-Weltmeisterschaften 2011 in Nové Město. Dort wurde sie 36. des Sprints, das Verfolgungsrennen beendete sie als überrundete Läuferin nicht.
</p><p>Šimová bestritt 2008 in Obertilliach sein erstes Rennen im IBU-Cup und wurde 63. eines Sprintrennens. Erste Punkte gewann er im weiteren Saisonverlauf als 21. eines Sprints in Osrblie. Es war zugleich ihre beste Platzierung in der Rennserie. Erste internationale Meisterschaften bei den Frauen wurden die Biathlon-Europameisterschaften 2012 in Osrblie. Šimová wurde 27. des Einzels, 43. des Sprints und 37. der Verfolgung. Im Staffelwettbewerb erreichte sie an der Seite von Martina Chrapánová, Terézia Poliaková und Natália Prekopová als Schlussläuferin den siebten Platz. Bei den nationalen Meisterschaften gewann sie 2012 hinter Terézia Poliaková und Natália Prekopová die Bronzemedaille im Massenstartrennen.
</p>",female,['biathlete']
Q865754,Birna Petersen,"<p><b>Birna Petersen</b> (* 27. September 1970) ist eine isländische Badmintonspielerin.
</p>",female,['badminton player']
Q17353088,Margarethe Adolphi,"<p><b>Margarethe Adolphi</b> (4. März 1876 in Posen – nach 1902) war eine deutsche Theaterschauspielerin.
</p>",female,['stage actor']
Q916658,Brigitte Schuller,"<p><b>Brigitte Schuller-Kornbrust</b> (* 1934 in Coburg; † 2016 in Berlin) war eine deutsche Bildende Künstlerin. Sie arbeitete überwiegend im Bereich der künstlerischen Keramik.
</p>",female,['ceramicist']
Q1379413,Eva Petrik,"<p><b>Eva Petrik</b> (* 23. Dezember 1931 in Graz als <i>Eva Rasny</i>; † 5. November 2007 in Wien) war eine österreichische Pädagogin und Politikerin (ÖVP).
</p>",female,['politician']
Q15844031,Sarah Wassermair,No intro available,female,['screenwriter']
Q1245197,Doris Klawunde,"<p><b>Doris Klawunde</b> (* 1958 in Hannover) ist eine ehemalige deutsche Kommunal-Politikerin. Sie war seit 2001 ehrenamtliche stellvertretende Regionspräsidentin der Region Hannover, in der Regionsversammlung stellvertretende Fraktionsvorsitzende von Bündnis 90/Die Grünen, dessen gesundheits- und sozialpolitische Sprecherin sowie Vorsitzende des hannoverschen Regionsverbandes der Grünen.
</p>",female,['politician']
Q1736603,Katja Alves,"<p><b>Katja Alves</b> (* 18. Juli 1961 in Coimbra) ist eine Schweizer Schriftstellerin.
</p>",female,"['non-fiction writer', 'writer']"
Q1325714,Eleanor Cox,"<p><b>Eleanor Cox</b> (* 2. Juni 1986) ist eine englische Badmintonspielerin. 
</p>",female,['badminton player']
Q1656496,Ida Boros,"<p><b>Ida Boros</b> (<span><span></span></span>; * 14. August 1923 in Budapest; † 16. Mai 2002 in Los Angeles, eigentlich <i>Ida Boross</i>) war eine ungarische Sängerin und Schauspielerin.
</p>",female,"['actor', 'singer']"
Q807677,Barbara Völzmann-Stickelbrock,"<p><b>Barbara Völzmann-Stickelbrock</b> (* 23. Mai 1965 in Nettetal-Breyell) ist eine deutsche Rechtswissenschaftlerin.
</p>",female,['professor']
Q2225670,Saskia Schneider,No intro available,female,['musician']
Q1781867,Mariola Brillowska,No intro available,female,"['film director', 'writer', 'voice actor', 'painter', 'film producer', 'screenwriter', 'film editor', 'animator', 'university teacher']"
Q28792741,Lidia Delgado Fortes,"<p><b>Lidia Delgado Fortes</b> (* 17. Juni 1992 in Hamburg) ist eine deutsch-kap-verdische Schauspielerin.
</p>",female,['film actor']
Q56240691,Irmgard Bohunovsky-Bärnthaler,"<p><b>Irmgard Bohunovsky-Bärnthaler</b> (* als <i>Irmgard Bärnthaler</i> 1939 in Tarvis) ist eine österreichische Historikerin, Autorin und Galeristin. Der Schwerpunkt ihrer Arbeiten liegt auf dem Spannungsfeld von Kunst und Politik.
</p>",female,"['author', 'gallerist', 'historian', 'opinion journalist']"
Q1905540,Martina Werner (Künstlerin),No intro available,female,"['artist', 'writer', 'painter', 'graphic artist']"
Q20980098,Hildegard von Marchtaler,"<p><b>Hildegard von Marchtaler</b> (* 7. Mai 1897 in Hamburg; † 2. September 1995 ebenda) war eine deutsche Privatlehrerin und Genealogin.
</p>",female,['genealogist']
Q21254405,Annegret Kuhn,"<p><b>Annegret Kuhn</b> (* 12. Mai 1967 in Heidelberg) ist eine deutsche Medizinerin, Klinikmanagerin, Wissenschaftlerin und Hochschullehrerin.
</p>",female,['university teacher']
Q1779043,Margrit Kahl,"<p><b>Margrit Kahl</b> (* 16. Januar 1942 in Hamburg; † 6. Januar 2009 ebenda) war eine deutsche Konzept- und Prozesskünstlerin.
</p>",female,['artist']
Q1598192,Rachel Ward (Autorin),No intro available,female,['writer']
Q30075123,Linda Mack,"<p><b>Linda Mack</b> (* 2. Dezember 1991 in Bietigheim-Bissingen) ist eine ehemalige deutsche Handballspielerin, die zuletzt für den Bundesligisten Borussia Dortmund auflief.
</p>",female,['handball player']
Q19631149,Ita Maria Berger,"<p><b>Ita Maria Berger</b> (* 1977) ist eine deutsche Sozialpädagogin und Übersetzerin.
</p>",female,['translator']
