,title,intro,gender,occupations
Q47088889,Margaret Woodlock,"<p class=""mw-empty-elt"">

</p>

<p><b>Margaret Joy ""Marg"" Woodlock</b> (born 20 May 1938) is an Australian athlete. She competed in the women's shot put at the 1956 Summer Olympics.
</p>",female,['athletics competitor']
Q4970743,Marta Obminska,"<p class=""mw-empty-elt"">
</p>

<p><b>Marta Amalia Obminska</b>, (born 1 August 1979 in Poland is a Swedish politician for the Moderate Party and an MP in the Riksdagen between 2010 and 2014, and again from 2015. She was elected into the Riksdagen from Uppsala constituency at place 6.
</p>",female,"['politician', 'advokat']"
Q5298415,Dorothy Fosdick,"<p><b>Dorothy Fosdick</b> (April 17, 1913 – February 5, 1997) was an American foreign policy expert.
</p>

",female,['writer']
Q50285048,Mary Ann Kerwin,"<p><b>Mary Ann Kerwin</b> (born 1931) is an American lawyer and breastfeeding activist. One of the seven founders of La Leche League in 1956, she established the Colorado branch of the advocacy group and drafted state laws on behalf of women who breastfeed their infants in public and in the workplace. She was inducted into the Colorado Women's Hall of Fame in 2012.
</p>",female,"['lawyer', 'activist']"
Q13560506,Marta Waller,"<p><b>Marta Waller</b> (born September 26, 1952) is an American marketing professional, educator, and a former broadcast news reporter, producer, and anchor, most notably with KTLA in Los Angeles, California, where she worked from 1984 to 2008.
</p>",female,"['actor', 'radio personality', 'journalist', 'film actor']"
Q1729524,,No intro available,female,['musician']
Q16556014,,No intro available,female,[]
Q18763598,Erika Geiss,"<p><b>Erika Geiss</b> is a Democratic politician from Michigan currently representing the 1st Senate district. Geiss previously represented the 6th senate district.
</p>",female,['politician']
Q5701925,Helen Bottel,"<p><b>Helen A. Bottel</b> (March 13, 1914 – April 18, 1999) was an American newspaper columnist who wrote the long-running, nationally syndicated advice column <i><b>Helen Help Us!</b></i> in the 1960s and 1970s.
</p><p>Although not as well known as the Dear Abby or Ann Landers columns, King Features Syndicate's <i>Helen Help Us!</i> syndicated call-in show addressed concerns from parents regarding child behaviour, discipline, and parent-child relationships.  Her advice focused on acknowledging what parents have control over (their own actions) and how to effectively apply limits and guidance to their children.  One was teenage dating: she ran the ""Stamp Out Steadying"" or ""S.O.S."" campaign, which gave support to teenagers who did not want to succumb to pressure to ""go steady"".  Another constant subject of letter writers to her column was suburban neighbors who would invade each other's privacy with spyglasses.  From 1971 - 1980, she co-wrote the column with her daughter, Sue Bottel Peppers. She published at least three books, one of which was a collections of her columns.
</p><p>At the age of 72, Helen left King Features Syndicate and self-syndicated in the Yomiuri Shimbun Newspaper in Japan, offering Western advice to Japanese readers.
</p><p>In the 1990s, Bottel co-authored with eldest daughter, Kathy Bottel Bernhardt, a <i>Look Who's Aging</i> column for <i>Senior</i> magazine.
</p><p>Helen was married for 63 years to Robert Edwin Bottel.  They had four children, Robert Dennis Bottel, Rodger Markam Bottel, Roberta Kathryn Bottel (Kathy Bernhardt)  and Suzanne Virginia Bottel (Peppers).
</p>",female,['journalist']
Q23498467,Maryn McKenna,"<p><b>Maryn McKenna</b> is an American author and journalist. She has written for <i>Nature</i>, <i>National Geographic</i>, and <i>Scientific American</i>, and spoke on antibiotics at TED 2015.
</p>",female,['journalist']
