Bezeichnung männlich lang,Bezeichnung weiblich lang
König,Königen
,Königstochter
Herzog,Herzogin
Mann,Frau
Ehemann,Ehefrau
Vater,Mutter
Prinz,Prinzessin
Bruder,Schwester
Polizist,Polizistin
Grafiker,Grafikerin
,Präsidentengattin
,Kanzlergattin
Student,Studentin
DJ,DJ
DJ,DJane
Verwaltungsbeamter,Verwaltungsbeamtin
Badmintonspieler,Badmintonspielerin
Lyriker,Lyrikerin
Geistlicher,Geistlicherin
Landrat,Landrätin
Segler,Seglerin
Vorstandsvorsitzender,Vorstandsvorsitzende
Bankmanager,Bankmanagerin
Kinderdarsteller,Kinderdarstellerin
Buchautor,Buchautorin
Schlagersänger,Schlagersängerin
Kommunalpolitiker,Kommunalpolitikerin
Radsportler,Radsportlerin
Ritter,
Industrieller,Industriellerin
Kinderbuchautor,Kinderbuchautorin
Publizist,Publizistin
Saxophonist,Saxophonistin
Bankier,Bankierin
Rennfahrer,Rennfahrerin
Theaterregisseur,Theaterregisseurin
Ringer,Ringerin
Abbrucharbeiter,Abbrucharbeiterin
Weltmeister,Weltmeisterin
Frauenrechtler,Frauenrechtlerin
Dressurreiter,Dressurreiterin
Flötist,Flötistin
Ratsherr,Ratsfrau
Vorsitzender,Vorsitzende
Botschafter,Botschafterin
Stifter,Stifterin
Poolbillardspieler,Poolbillardspielerin
Sprinter,Sprinterin
Mäzen,Mäzenin
Cellist,Cellistin
Songwriter,Songwriterin
Gewichtheber,Gewichtheberin
Harfenist,Harfenistin
Aktivist,Aktivistin
Skeletonpilot,Skeletonpilotin
Skilangläufer,Skilangläuferin
Leichtathlet,Leichtathletin
Fürstabt,Fürstäbtissin
Kammerherr,
Generalmajor,
Dompropst,Dompröpstin
Leutnant,
Adliger,Adlige
Generalleutnant,
Mediziner,Medizinerin
Genremaler,Genremalerin
Althistoriker,Althistorikerin
Holocaust-überlebende,Holocaust-überlebende
Marathonläufer,Marathonläuferin
Musicaldarsteller,Musicaldarstellerin
Unihockeyspieler,Unihockeyspielerin
Skirennläufer,Skirennläuferin
Fussballnationalspieler,Fussballnationalspielerin
Schachspieler,Schachspielerin
Diplomat,Diplomatin
Heimatforscher,Heimatforscherin
Sopranist,Sopranistin
Polizeibeamter,Polizeibeamtin
Triathlet,Triathletin
Hofmeister,Hofmeisterin
Philanthrop,Philanthropin
Oberamtmann,
Volleyballspieler,Volleyballspielerin
Jazzsänger,Jazzsängerin
Biathlet,Biathletin
Curler,Curlerin
Illustrator,Illustratorin
Comiczeichner,Comiczeichnerin
Popsänger,Popsängerin
Beachvolleyballspieler,Beachvolleyballspielerin
Judoka,Judoka
Umweltaktivist,Umweltaktivistin
Violinist,Violinistin
Springreiter,Springreiterin
Landtagsabgeordneter,Landtagsabgeordnete
Squashspieler,Squashspielerin
Turner,Turnerin
Langstreckenläufer,Langstreckenläuferin
Kunstturner,Kunstturnerin
Papyrologe,Papyrologin
Jazzpianist,Jazzpianistin
Bergsteiger,Bergsteigerin
Skispringer,Skispringerin
Geograph,Geographin
Feminist,Feministin
Gründer,Gründerin
Rapper,Rapperin
Pionier,Pionierin
Volksschauspieler,Volksschauspielerin
Naturbahnrodler,Naturbahnrodlerin
Hochstapler,Hochstaplerin
Fernsehschauspieler,Fernsehschauspielerin
Widerstandskämpfer,Widerstandskämpferin
Jugendbuchautor,Jugendbuchautorin
Hauptmann,Hauptfrau
Fotomodell,Fotomodell
Sachbuchautor,Sachbuchautorin
Oberst,
Kommandeur,Kommandeurin
Reichsgerichtsrat,Reichsgerichtsrätint
Bassist,Bassistin
Basketballtrainer,Basketballtrainerin
Basketballspieler,Basketballspielerin
Tischtennisspieler,Tischtennisspielerin
Abdichter (Dachdeckerei),Abdichterin (Dachdeckerei)
Abdichtungspolier (Bauwerks- und Asphaltabdichtung),Abdichtungspolierin (Bauwerks- und Asphaltabdichtung)
Abfallbeauftragter,Abfallbeauftragte
Abfallberater,Abfallberaterin
Abfallbeseitiger,Abfallbeseitigerin
Abfalltechniker,Abfalltechnikerin
"Abfalltechniker in Schulung, Einweisung, Fortbildung","Abfalltechnikerin in Schulung, Einweisung, Fortbildung"
Abfallwirtschaftsberater,Abfallwirtschaftsberaterin
