,occupations
0,astrazione
1,contabile
2,acrobata
3,attore
4,attrice
5,attuario
6,agopressore
7,agopunturista
8,indirizzatore
9,giudice arbitro
10,perito
11,misuratore
12,amministratore
13,antennista
14,aerodinamico
15,agronomo
16,allineatore
17,amalgamatore
18,analista
19,anatomista
20,anchorman
21,conduttrice
22,anestesista
23,ricamatore
24,annunciatore
25,anodizzatore
26,antropologo
27,apicoltore
28,appliquer
29,perito
30,acquariofilo
31,arbitro
32,arborista
33,archeologo
34,architetto
35,archivista
36,arrangiatore
37,arrowsmith
38,artista
39,saggiatore
40,assemblatore
41,assortimento
42,astrologo
43,astronomo
44,addetto
45,banditore
46,audiologo
47,audiometrista
48,revisore dei conti
49,autore
50,babbitter
51,imbustatore
52,ufficiale giudiziario
53,fornaio
54,equilibratore
55,pressa
56,bander
57,barbiere
58,barista
59,imbonitore
60,barista
61,barman
62,barista
63,tallonatore
64,perlinatore
65,beamer
66,lettiera
67,apicoltore
68,fattorino
69,piegatore
70,smussatore
71,bibliografo
72,affissione
73,raccoglitore
74,biochimico
75,biografo
76,biologo
77,biofisico
78,fabbro
79,fabbricante di coperte
80,blaster
81,gradinata
82,frullatore
83,bloccante
84,costruttore di barche
85,nostromo
86,guardia del corpo
87,caldaia
88,bolter
89,bonder
90,boner
91,rilegatore
92,libraio
93,contabile
94,bookmaker
95,scarparo
96,botanico
97,buttafuori
98,frenatore
99,brazer
100,demolitore
101,muratore
102,brimer
103,briner
104,broommaker
105,fratello
106,spazzolatrice
107,inchiavardatore
108,germogliatore
109,tampone
110,costruttore
111,bulker
112,fardellatore
113,burler
114,bruciatore
115,brunitore
116,bulino
117,economo
118,cespugliatore
119,uomo d'affari
120,uomo d'affari
121,donna d'affari
122,macellaio
123,maggiordomo
124,burriera
125,abbottonatore
126,acquirente
127,ebanista
128,caddie
129,cadetto
130,cager
131,calcinatore
132,calibratore
133,chiamante
134,cameraman
135,operatrice
136,fabbricante di candele
137,cantore
138,caponizzatore
139,capitano
140,carbonizzatore
141,cardatore
142,cardiologo
143,custode
144,falegname
145,carrettiere
146,vignettista
147,intagliatore
148,caser
149,assistente sociale
150,cassiere
151,caster
152,ricevitore
153,causticatore
154,cementista
155,presidente
156,presidente/presidente
157,presidente
158,canalizzatore
159,accompagnatore
160,carta
161,inseguitore
162,autista
163,controllore
164,casaro
165,cuoco
166,chimico
167,capo
168,cippatrice
169,chiropratico
170,elicottero
171,coreografo
172,sfornatore
173,clamper
174,chiarificatore
175,classificatore
