,average_score_wikipedia,average_score_matched,average_score_unmatched,percent_matched,number_matched,number_unmatched,counts
medico,8.41304347826087,14.571428571428571,6.591549295774648,0.22826086956521738,21,71,"{'medico': 0, 'medica': 6}"
medica,11.607142857142858,18.333333333333332,10.8,0.10714285714285714,3,25,"{'medico': 5, 'medica': 0}"
capitano,6.784313725490196,16.5,5.957446808510638,0.0784313725490196,4,47,"{'capitano': 0, 'capitana': 3}"
capitana,7.833333333333333,6.5,8.5,0.3333333333333333,2,4,"{'capitano': 0, 'capitana': 0}"
sindaco,5.757575757575758,8.833333333333334,4.0,0.36363636363636365,12,21,"{'sindaco': 0, 'sindaca': 5}"
sindaca,10.23076923076923,8.1,11.5625,0.38461538461538464,10,16,"{'sindaco': 4, 'sindaca': 0}"
avvocato,11.238095238095237,6.5,11.736842105263158,0.09523809523809523,8,76,"{'avvocato': 0, 'avvocata': 18}"
avvocata,12.578947368421053,19.0,10.285714285714286,0.2631578947368421,20,56,"{'avvocato': 10, 'avvocata': 0}"
architetto,5.230769230769231,4.0,5.28,0.038461538461538464,1,25,"{'architetto': 0, 'architetta': 14}"
architetta,5.594594594594595,8.38888888888889,2.9473684210526314,0.4864864864864865,18,19,"{'architetto': 3, 'architetta': 0}"
sottosegretario,2.0,2.5,1.875,0.2,2,8,"{'sottosegretario': 0, 'sottosegretaria': 1}"
sottosegretaria,5.666666666666667,5.5,5.6923076923076925,0.13333333333333333,2,13,"{'sottosegretario': 4, 'sottosegretaria': 0}"
magistrato,10.6,,10.6,0.0,0,15,"{'magistrato': 0, 'magistrata': 1}"
magistrata,10.714285714285714,16.0,10.157894736842104,0.09523809523809523,2,19,"{'magistrato': 1, 'magistrata': 0}"
ministro,20.03846153846154,23.319148936170212,15.064516129032258,0.6025641025641025,47,31,"{'ministro': 0, 'ministra': 5}"
ministra,20.181818181818183,15.0,21.333333333333332,0.18181818181818182,2,9,"{'ministro': 4, 'ministra': 0}"
dottore,7.5,,7.5,0.0,0,2,"{'dottore': 0, 'dottoressa': 0}"
dottoressa,22.428571428571427,27.5,21.583333333333332,0.14285714285714285,2,12,"{'dottore': 0, 'dottoressa': 0}"
assessore,2.5,1.0,2.8,0.16666666666666666,1,5,"{'assessore': 0, 'assessora': 0}"
direttore,8.666666666666666,11.75,8.05,0.16666666666666666,4,20,"{'direttore': 0, 'direttrice': 5}"
direttrice,4.746153846153846,8.088235294117647,3.5625,0.26153846153846155,68,192,"{'direttore': 2, 'direttrice': 0}"
critico,2.4444444444444446,,2.4444444444444446,0.0,0,9,"{'critico': 0, 'critica': 0}"
critica,4.927272727272728,5.890909090909091,4.445454545454545,0.3333333333333333,55,110,"{'critico': 1, 'critica': 0}"
senatore,8.0,,8.0,0.0,0,6,"{'senatore': 0, 'senatrice': 0}"
senatrice,9.660550458715596,15.76923076923077,4.087719298245614,0.47706422018348627,52,57,"{'senatore': 4, 'senatrice': 0}"
deputato,5.25,,5.25,0.0,0,8,"{'deputato': 0, 'deputata': 0}"
deputata,4.335820895522388,1.608695652173913,4.900900900900901,0.17164179104477612,23,111,"{'deputato': 0, 'deputata': 0}"
allenatore,4.0,,4.0,0.0,0,8,"{'allenatore': 0, 'allenatrice': 0}"
allenatrice,6.700164744645799,7.4393939393939394,6.494736842105263,0.21746293245469522,132,475,"{'allenatore': 9, 'allenatrice': 0}"
