,average_score_wikipedia,average_score_matched,average_score_unmatched,percent_matched,number_matched,number_unmatched,counts
medico,8.41304347826087,12.5,7.914634146341464,0.10869565217391304,10,82,"{'medico': 0, 'medica': 5}"
medica,11.607142857142858,,11.607142857142858,0.0,0,28,"{'medico': 1, 'medica': 0}"
capitano,6.784313725490196,35.0,6.22,0.0196078431372549,1,50,"{'capitano': 0, 'capitana': 0}"
capitana,7.833333333333333,,7.833333333333333,0.0,0,6,"{'capitano': 0, 'capitana': 0}"
sindaco,5.757575757575758,4.666666666666667,5.866666666666666,0.09090909090909091,3,30,"{'sindaco': 0, 'sindaca': 6}"
sindaca,10.23076923076923,29.333333333333332,7.739130434782608,0.11538461538461539,3,23,"{'sindaco': 1, 'sindaca': 0}"
avvocato,11.238095238095237,7.666666666666667,11.37037037037037,0.03571428571428571,3,81,"{'avvocato': 0, 'avvocata': 3}"
avvocata,12.578947368421053,11.375,12.720588235294118,0.10526315789473684,8,68,"{'avvocato': 3, 'avvocata': 0}"
architetto,5.230769230769231,,5.230769230769231,0.0,0,26,"{'architetto': 0, 'architetta': 7}"
architetta,5.594594594594595,11.071428571428571,2.260869565217391,0.3783783783783784,14,23,"{'architetto': 0, 'architetta': 0}"
sottosegretario,2.0,,2.0,0.0,0,10,"{'sottosegretario': 0, 'sottosegretaria': 0}"
sottosegretaria,5.666666666666667,,5.666666666666667,0.0,0,15,"{'sottosegretario': 0, 'sottosegretaria': 0}"
magistrato,10.6,,10.6,0.0,0,15,"{'magistrato': 0, 'magistrata': 1}"
magistrata,10.714285714285714,5.0,11.31578947368421,0.09523809523809523,2,19,"{'magistrato': 0, 'magistrata': 0}"
ministro,20.03846153846154,44.07142857142857,14.78125,0.1794871794871795,14,64,"{'ministro': 0, 'ministra': 1}"
ministra,20.181818181818183,21.0,20.1,0.09090909090909091,1,10,"{'ministro': 2, 'ministra': 0}"
dottore,7.5,,7.5,0.0,0,2,"{'dottore': 0, 'dottoressa': 0}"
dottoressa,22.428571428571427,,22.428571428571427,0.0,0,14,"{'dottore': 0, 'dottoressa': 0}"
assessore,2.5,,2.5,0.0,0,6,"{'assessore': 0, 'assessora': 0}"
direttore,8.666666666666666,7.0,8.818181818181818,0.08333333333333333,2,22,"{'direttore': 0, 'direttrice': 2}"
direttrice,4.746153846153846,9.771428571428572,3.9644444444444447,0.1346153846153846,35,225,"{'direttore': 1, 'direttrice': 0}"
critico,2.4444444444444446,,2.4444444444444446,0.0,0,9,"{'critico': 0, 'critica': 0}"
critica,4.927272727272728,8.903225806451612,4.007462686567164,0.18787878787878787,31,134,"{'critico': 0, 'critica': 0}"
senatore,8.0,,8.0,0.0,0,6,"{'senatore': 0, 'senatrice': 1}"
senatrice,9.660550458715596,16.68421052631579,8.177777777777777,0.1743119266055046,19,90,"{'senatore': 0, 'senatrice': 0}"
deputato,5.25,,5.25,0.0,0,8,"{'deputato': 0, 'deputata': 0}"
deputata,4.335820895522388,14.0,4.114503816793893,0.022388059701492536,3,131,"{'deputato': 0, 'deputata': 0}"
allenatore,4.0,,4.0,0.0,0,8,"{'allenatore': 0, 'allenatrice': 0}"
allenatrice,6.700164744645799,9.15625,6.563478260869565,0.05271828665568369,32,575,"{'allenatore': 0, 'allenatrice': 0}"
